age,education,occupation,experience,hours-per-week,salary
32,Bachelors,Software Engineer,10,27,43720
28,Assoc,Nurse,10,43,35709
39,Masters,Accountant,20,21,52182
38,Some-college,Armed-Forces,0,31,24934
61,Some-college,Machine-op-inspct,24,68,40242
64,Bachelors,Sales Associate,2,56,31508
38,Assoc,Nurse,8,58,31045
19,Some-college,Handlers-cleaners,1,47,23138
61,Bachelors,Sales Associate,7,66,35533
21,Some-college,Farming-fishing,1,25,18000
21,PhD,Research Scientist,1,48,61946
57,PhD,Legal Advisor,20,35,66428
64,Masters,Project Manager,23,45,61141
46,Masters,Data Scientist,14,64,66047
24,HS-grad,Sales Associate,0,43,18000
34,Assoc,Nurse,7,54,32422
22,Assoc,Quality Analyst,1,58,30795
50,HS-grad,Marketing Manager,22,43,45002
61,Masters,Accountant,39,41,68719
31,Masters,Accountant,2,20,37908
31,Masters,Project Manager,6,46,39250
30,Some-college,Armed-Forces,2,51,30694
49,HS-grad,Sales Associate,3,49,25244
53,Assoc,Quality Analyst,12,51,35069
39,Assoc,Nurse,1,61,31665
28,PhD,Research Scientist,9,47,69995
50,HS-grad,Graphic Designer,0,46,25384
56,HS-grad,Graphic Designer,5,27,24770
54,Assoc,Quality Analyst,32,61,58772
29,PhD,Professor,6,21,56184
54,Assoc,Quality Analyst,16,68,44479
18,Masters,Data Scientist,0,38,48462
61,PhD,Research Scientist,25,51,87696
34,Assoc,Nurse,5,43,33491
23,Masters,Project Manager,5,30,44981
23,HS-grad,Graphic Designer,4,22,25958
53,Bachelors,Sales Associate,18,45,38323
50,Bachelors,Software Engineer,17,59,56771
45,HS-grad,Graphic Designer,24,44,43914
24,Some-college,Craft-repair,3,35,18891
19,Some-college,Transport-moving,0,67,26017
26,Assoc,Nurse,8,54,36565
37,Assoc,Nurse,0,43,27544
65,PhD,Legal Advisor,24,54,75156
35,HS-grad,Sales Associate,13,37,24501
53,Masters,Data Scientist,32,23,74392
38,HS-grad,Marketing Manager,15,39,40857
50,Assoc,Quality Analyst,11,41,32903
47,PhD,Research Scientist,5,57,67696
51,Assoc,Nurse,20,49,44513
50,HS-grad,Graphic Designer,4,67,27322
46,Bachelors,Business Analyst,13,25,45406
54,Assoc,Quality Analyst,23,48,48123
38,Assoc,Quality Analyst,0,22,24457
59,Some-college,Transport-moving,30,22,45250
19,PhD,Legal Advisor,0,46,49584
43,Some-college,Tech-support,16,59,42907
43,Masters,Project Manager,2,69,49434
24,HS-grad,Sales Associate,0,55,24427
29,PhD,Research Scientist,2,42,62638
19,Bachelors,Business Analyst,1,42,30799
39,Some-college,Machine-op-inspct,16,61,40743
60,PhD,Legal Advisor,36,52,81446
56,Bachelors,Software Engineer,3,25,42142
64,Masters,Project Manager,34,59,68537
